id,filtered_words,features,label_index
R129,"['party', 'truth', 'receive', 'back.', 'pattern', 'tonight', 'talk.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[617,1379,2069,2110,3389,3556,3614,3809,4506,4617,4687,9462],[3.914021008090819,4.270695952029551,4.270695952029551,5.117993812416755,4.019381523748645,2.8844015909096608,0.6636465161632473,5.523458920524919,0.691153161953081,4.607168188650764,0.6871770135734415,0.691153161953081])",1.0
R227,"['difficult', 'open', 'catch', 'american', 'age', 'situation', 'protect.', 'half', 'develop', 'event', 'camera', 'success', 'half.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[821,1241,1650,1712,1780,2059,3136,3614,4062,4506,4687,5783,7652,7728,7949,8693,8791,9462,9828],[2.849310271098391,3.914021008090819,4.42484663185681,4.42484663185681,5.117993812416755,2.579019941358479,4.137164559405029,0.6636465161632473,4.830311739964974,0.691153161953081,0.6871770135734415,4.019381523748645,3.8187108282864943,4.42484663185681,4.137164559405029,5.523458920524919,4.137164559405029,0.691153161953081,4.42484663185681])",1.0
F231,"['tell', 'question', 'thank', 'race', 'style.', 'standard', 'loss', 'market', 'third', 'current', 'pick.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[454,503,650,1687,1850,2657,2947,2967,3500,5329,5344,5850,7281,7936,8338,8771,9189],[3.5085558999826545,0.691153161953081,2.958509563063383,4.137164559405029,4.830311739964974,3.8187108282864943,4.42484663185681,4.019381523748645,4.830311739964974,4.607168188650764,5.523458920524919,0.691153161953081,0.6792718340663283,0.691153161953081,0.691153161953081,3.8187108282864943,3.6516567436233283])",0.0
R066,"['learn', 'likely', 'another', 'statement', 'kitchen', 'science', 'get', 'return.', 'short', 'worry', 'animal', 'wide', 'beat', 'strong.', 'record', 'perhaps', 'environment', 'first', 'probably', 'new.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[278,309,756,1259,1262,2297,2407,2569,2836,3363,3614,4347,4506,4687,5967,6280,6403,6944,7360,8166,8343,8684,9426,9462,9817],[4.830311739964974,4.270695952029551,4.270695952029551,4.137164559405029,4.42484663185681,4.270695952029551,4.830311739964974,3.577548771469606,3.8187108282864943,4.42484663185681,0.6636465161632473,4.270695952029551,0.691153161953081,0.6871770135734415,3.8187108282864943,5.117993812416755,3.6516567436233283,2.7200985396183848,3.7316994512968646,3.7316994512968646,4.42484663185681,4.607168188650764,4.42484663185681,0.691153161953081,3.5085558999826545])",1.0
F095,"['trial', 'manage', 'best', 'meet', 'personal', 'ground.', 'respond', 'something', 'bed.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[503,763,1208,2500,3184,3410,5850,7281,7883,7936,7939,8338,8678,9166,9826,9940],[0.691153161953081,4.137164559405029,2.849310271098391,3.914021008090819,2.8844015909096608,4.830311739964974,0.691153161953081,0.6792718340663283,4.607168188650764,0.691153161953081,3.6516567436233283,0.691153161953081,4.830311739964974,5.523458920524919,4.137164559405029,3.577548771469606])",0.0
R174,"['near', 'security', 'side', 'material.', 'step', 'significant', 'evening', 'especially', 'choice.', 'think', 'citizen', 'property', 'miss', 'hospital.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[8,779,934,1071,1558,2335,2634,2733,3614,4506,4687,5286,5616,5974,6944,8173,8552,9462,9781],[4.019381523748645,5.523458920524919,4.607168188650764,4.137164559405029,4.137164559405029,4.019381523748645,3.7316994512968646,4.607168188650764,0.6636465161632473,0.691153161953081,0.6871770135734415,4.42484663185681,5.117993812416755,3.8187108282864943,2.7200985396183848,3.4440173788450834,4.42484663185681,0.691153161953081,4.137164559405029])",1.0
R201,"['two', 'life', 'assume.', 'hundred', 'cover', 'time', 'crime', 'water', 'including.', 'left', 'page', 'read', 'late.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[731,1662,1770,2589,2827,3477,3614,4506,4687,4728,5175,6104,6151,6219,7650,8157,8550,8888,9462],[4.270695952029551,4.830311739964974,2.849310271098391,3.6516567436233283,4.019381523748645,3.914021008090819,0.6636465161632473,0.691153161953081,0.6871770135734415,3.8187108282864943,4.137164559405029,4.42484663185681,5.117993812416755,3.0385522707369192,4.019381523748645,4.270695952029551,5.523458920524919,5.117993812416755,0.691153161953081])",1.0
R072,"['go', 'provide', 'list', 'staff', 'argue.', 'response', 'language', 'score', 'magazine', 'arrive', 'evening.', 'example', 'pass', 'people', 'final', 'party.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[1653,1716,1927,2445,3614,4011,4201,4263,4506,4687,5047,5946,6224,6451,7391,7509,8392,8413,8728,9462,9606],[3.914021008090819,4.270695952029551,4.42484663185681,4.019381523748645,0.6636465161632473,5.523458920524919,5.523458920524919,4.270695952029551,0.691153161953081,0.6871770135734415,2.60568818844064,4.270695952029551,4.019381523748645,3.577548771469606,4.019381523748645,5.117993812416755,4.019381523748645,3.2721671219184243,3.0811118851557153,0.691153161953081,4.270695952029551])",1.0
R064,"['voice', 'adult', 'interest', 'firm', 'factor.', 'raise', 'arrive', 'activity', 'bring', 'their.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[70,72,3057,3527,3530,3614,4108,4506,4687,5416,7066,7391,8110,8894,9462],[4.830311739964974,4.137164559405029,4.830311739964974,4.019381523748645,3.8187108282864943,0.6636465161632473,5.117993812416755,0.691153161953081,0.6871770135734415,5.117993812416755,2.920769235080536,4.019381523748645,4.607168188650764,4.42484663185681,0.691153161953081])",1.0
F037,"['black', 'fast', 'body', 'character', 'case.', 'owner', 'able', 'whatever', 'chair', 'democrat', 'impact', 'stuff.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,681,841,1256,1948,1972,2825,3496,4867,5234,5850,6053,6752,7281,7695,7860,7936,8338,9263],[0.691153161953081,4.42484663185681,4.607168188650764,3.125563647726549,4.42484663185681,3.8187108282864943,5.523458920524919,4.019381523748645,4.019381523748645,4.137164559405029,0.691153161953081,3.3262343431887,5.523458920524919,0.6792718340663283,5.117993812416755,2.958509563063383,0.691153161953081,0.691153161953081,4.137164559405029])",0.0
